flight_id,aircraft_cat,SOBT,TOBT,SID,expected_AOBT_noise,expected_EXOT,expected_EXOT_noise,deice_service_need,deice_expected_ADIT,deice_expected_ADIT_sigma,deice_expected_wait,exp_taxi_from_deice,wait_cost_per_min,delay_cost_per_min,TSAT,expected_ERZT,expected_ECZT,expected_AEZT,expected_ETOT
Flight01,M,0,0,N,0,4,0,[1],10,0.05,0,4,"(100,)",20,0,4,4,14,18
Flight02,M,0,0,S,0,4,0,[1],20,0.05,0,4,"(100,)",20,0,4,4,24,28
Flight03,H,1,1,N,0,4,0,[1],6,0.05,0,4,"(200,)",40,1,5,5,11,15
Flight04,H,2,2,N,0,4,0,[1],4,0.05,0,4,"(200,)",40,2,6,6,10,14
Flight05,M,2,2,N,0,4,0,[1],12,0.05,0,4,"(100,)",20,2,6,6,18,22
Flight06,M,3,3,N,0,4,0,[1],16,0.05,0,4,"(100,)",20,3,7,7,23,27
Flight07,H,3,3,N,0,4,0,[1],17,0.05,0,4,"(200,)",40,3,7,7,24,28
Flight08,M,3,3,W,0,4,0,[1],7,0.05,0,4,"(100,)",20,3,7,7,14,18
Flight09,M,3,3,N,0,4,0,[1],4,0.05,0,4,"(100,)",20,3,7,7,11,15
Flight10,M,5,5,N,0,4,0,[1],9,0.05,0,4,"(100,)",20,5,9,9,18,22
Flight11,M,6,6,N,0,4,0,[1],16,0.05,0,4,"(100,)",20,6,10,10,26,30
Flight12,M,6,6,W,0,4,0,[1],22,0.05,0,4,"(100,)",20,6,10,10,32,36
Flight13,M,6,6,N,0,4,0,[1],8,0.05,0,4,"(100,)",20,6,10,10,18,22
Flight14,M,7,7,E,0,4,0,[1],17,0.05,0,4,"(100,)",20,7,11,11,28,32
Flight15,H,7,7,N,0,4,0,[1],6,0.05,0,4,"(200,)",40,7,11,11,17,21
Flight16,M,7,7,E,0,4,0,[1],5,0.05,0,4,"(100,)",20,7,11,11,16,20
Flight17,H,7,7,N,0,4,0,[1],20,0.05,0,4,"(200,)",40,7,11,11,31,35
Flight18,M,8,8,E,0,4,0,[1],20,0.05,0,4,"(100,)",20,8,12,12,32,36
Flight19,M,9,9,N,0,4,0,[1],6,0.05,0,4,"(100,)",20,9,13,13,19,23
Flight20,M,10,10,E,0,4,0,[1],8,0.05,0,4,"(100,)",20,10,14,14,22,26
