flight_id,aircraft_cat,SOBT,TOBT,SID,expected_AOBT_noise,expected_EXOT,expected_EXOT_noise,deice_service_need,deice_expected_ADIT,deice_expected_ADIT_sigma,deice_expected_wait,exp_taxi_from_deice,wait_cost_per_min,delay_cost_per_min,TSAT,expected_ERZT,expected_ECZT,expected_AEZT,expected_ETOT
Flight01,H,0,0,S,0,4,0,[1],14,0.05,0,4,"(200,)",40,0,4,4,18,22
Flight02,M,0,0,N,0,4,0,[1],10,0.05,0,4,"(100,)",20,0,4,4,14,18
Flight03,M,0,0,N,0,4,0,[0],0,0.0,0,0,"(100,)",20,0,4,4,4,4
Flight04,H,0,0,E,0,4,0,[1],14,0.05,0,4,"(200,)",40,0,4,4,18,22
Flight05,M,0,0,E,0,4,0,[0],0,0.0,0,0,"(100,)",20,0,4,4,4,4
Flight06,H,0,0,N,0,4,0,[0],0,0.0,0,0,"(200,)",40,0,4,4,4,4
Flight07,M,0,0,N,0,4,0,[1],15,0.05,0,4,"(100,)",20,0,4,4,19,23
Flight08,M,0,0,E,0,4,0,[1],15,0.05,0,4,"(100,)",20,0,4,4,19,23
Flight09,M,0,0,N,0,4,0,[1],7,0.05,0,4,"(100,)",20,0,4,4,11,15
Flight10,H,0,0,E,0,4,0,[1],16,0.05,0,4,"(200,)",40,0,4,4,20,24
Flight11,M,0,0,N,0,4,0,[0],0,0.0,0,0,"(100,)",20,0,4,4,4,4
Flight12,M,0,0,N,0,4,0,[1],20,0.05,0,4,"(100,)",20,0,4,4,24,28
Flight13,M,0,0,N,0,4,0,[1],22,0.05,0,4,"(100,)",20,0,4,4,26,30
Flight14,M,0,0,E,0,4,0,[1],10,0.05,0,4,"(100,)",20,0,4,4,14,18
Flight15,M,0,0,S,0,4,0,[1],20,0.05,0,4,"(100,)",20,0,4,4,24,28
Flight16,H,0,0,S,0,4,0,[0],0,0.0,0,0,"(200,)",40,0,4,4,4,4
Flight17,M,0,0,W,0,4,0,[1],12,0.05,0,4,"(100,)",20,0,4,4,16,20
Flight18,M,0,0,E,0,4,0,[1],12,0.05,0,4,"(100,)",20,0,4,4,16,20
Flight19,M,0,0,N,0,4,0,[0],0,0.0,0,0,"(100,)",20,0,4,4,4,4
Flight20,M,0,0,W,0,4,0,[0],0,0.0,0,0,"(100,)",20,0,4,4,4,4
Flight21,M,0,0,N,0,4,0,[0],0,0.0,0,0,"(100,)",20,0,4,4,4,4
Flight22,H,0,0,N,0,4,0,[1],20,0.05,0,4,"(200,)",40,0,4,4,24,28
Flight23,M,0,0,N,0,4,0,[0],0,0.0,0,0,"(100,)",20,0,4,4,4,4
Flight24,M,0,0,N,0,4,0,[1],7,0.05,0,4,"(100,)",20,0,4,4,11,15
Flight25,H,0,0,N,0,4,0,[1],9,0.05,0,4,"(200,)",40,0,4,4,13,17
Flight26,M,0,0,S,0,4,0,[1],8,0.05,0,4,"(100,)",20,0,4,4,12,16
Flight27,M,0,0,N,0,4,0,[1],12,0.05,0,4,"(100,)",20,0,4,4,16,20
Flight28,M,0,0,E,0,4,0,[0],0,0.0,0,0,"(100,)",20,0,4,4,4,4
Flight29,M,0,0,N,0,4,0,[1],13,0.05,0,4,"(100,)",20,0,4,4,17,21
Flight30,M,0,0,W,0,4,0,[0],0,0.0,0,0,"(100,)",20,0,4,4,4,4
Flight31,H,0,0,S,0,4,0,[1],6,0.05,0,4,"(200,)",40,0,4,4,10,14
Flight32,M,0,0,N,0,4,0,[1],6,0.05,0,4,"(100,)",20,0,4,4,10,14
Flight33,M,0,0,W,0,4,0,[1],15,0.05,0,4,"(100,)",20,0,4,4,19,23
Flight34,M,0,0,N,0,4,0,[1],5,0.05,0,4,"(100,)",20,0,4,4,9,13
Flight35,M,0,0,N,0,4,0,[0],0,0.0,0,0,"(100,)",20,0,4,4,4,4
Flight36,H,0,0,S,0,4,0,[1],6,0.05,0,4,"(200,)",40,0,4,4,10,14
Flight37,M,0,0,N,0,4,0,[1],15,0.05,0,4,"(100,)",20,0,4,4,19,23
Flight38,M,0,0,S,0,4,0,[0],0,0.0,0,0,"(100,)",20,0,4,4,4,4
Flight39,M,0,0,E,0,4,0,[1],8,0.05,0,4,"(100,)",20,0,4,4,12,16
Flight40,M,0,0,W,0,4,0,[1],6,0.05,0,4,"(100,)",20,0,4,4,10,14
Flight41,H,0,0,N,0,4,0,[1],6,0.05,0,4,"(200,)",40,0,4,4,10,14
Flight42,H,0,0,E,0,4,0,[1],14,0.05,0,4,"(200,)",40,0,4,4,18,22
Flight43,H,0,0,N,0,4,0,[0],0,0.0,0,0,"(200,)",40,0,4,4,4,4
Flight44,M,0,0,N,0,4,0,[0],0,0.0,0,0,"(100,)",20,0,4,4,4,4
Flight45,H,0,0,N,0,4,0,[1],21,0.05,0,4,"(200,)",40,0,4,4,25,29
Flight46,M,0,0,S,0,4,0,[0],0,0.0,0,0,"(100,)",20,0,4,4,4,4
Flight47,M,0,0,N,0,4,0,[1],19,0.05,0,4,"(100,)",20,0,4,4,23,27
Flight48,M,0,0,E,0,4,0,[1],6,0.05,0,4,"(100,)",20,0,4,4,10,14
Flight49,M,0,0,S,0,4,0,[1],8,0.05,0,4,"(100,)",20,0,4,4,12,16
Flight50,M,0,0,E,0,4,0,[1],17,0.05,0,4,"(100,)",20,0,4,4,21,25
