flight_id,aircraft_cat,SOBT,TOBT,SID,expected_AOBT_noise,expected_EXOT,expected_EXOT_noise,deice_service_need,deice_expected_ADIT,deice_expected_ADIT_sigma,deice_expected_wait,exp_taxi_from_deice,wait_cost_per_min,delay_cost_per_min,TSAT,expected_ERZT,expected_ECZT,expected_AEZT,expected_ETOT
Flight01,H,2,2,S,0,4,0,[1],8,0.05,0,4,"(200,)",40,2,6,6,14,18
Flight02,M,3,3,S,0,4,0,[1],12,0.05,0,4,"(100,)",20,3,7,7,19,23
Flight03,M,4,4,W,0,4,0,[0],0,0.0,0,0,"(100,)",20,4,8,8,8,8
Flight04,M,5,5,E,0,4,0,[1],13,0.05,0,4,"(100,)",20,5,9,9,22,26
Flight05,M,7,7,N,0,4,0,[0],0,0.0,0,0,"(100,)",20,7,11,11,11,11
Flight06,M,8,8,W,0,4,0,[1],6,0.05,0,4,"(100,)",20,8,12,12,18,22
Flight07,M,8,8,N,0,4,0,[1],6,0.05,0,4,"(100,)",20,8,12,12,18,22
Flight08,M,9,9,N,0,4,0,[1],15,0.05,0,4,"(100,)",20,9,13,13,28,32
Flight09,M,10,10,N,0,4,0,[1],5,0.05,0,4,"(100,)",20,10,14,14,19,23
Flight10,M,11,11,N,0,4,0,[0],0,0.0,0,0,"(100,)",20,11,15,15,15,15
Flight11,M,11,11,N,0,4,0,[1],6,0.05,0,4,"(100,)",20,11,15,15,21,25
Flight12,M,12,12,S,0,4,0,[1],15,0.05,0,4,"(100,)",20,12,16,16,31,35
Flight13,M,12,12,N,0,4,0,[0],0,0.0,0,0,"(100,)",20,12,16,16,16,16
Flight14,M,13,13,E,0,4,0,[1],8,0.05,0,4,"(100,)",20,13,17,17,25,29
Flight15,M,14,14,N,0,4,0,[1],6,0.05,0,4,"(100,)",20,14,18,18,24,28
Flight16,H,16,16,W,0,4,0,[1],6,0.05,0,4,"(200,)",40,16,20,20,26,30
Flight17,M,17,17,S,0,4,0,[1],14,0.05,0,4,"(100,)",20,17,21,21,35,39
