flight_id,aircraft_cat,SOBT,TOBT,SID,expected_AOBT_noise,expected_EXOT,expected_EXOT_noise,deice_service_need,deice_expected_ADIT,deice_expected_ADIT_sigma,deice_expected_wait,exp_taxi_from_deice,wait_cost_per_min,delay_cost_per_min,TSAT,expected_ERZT,expected_ECZT,expected_AEZT,expected_ETOT
Flight01,M,0,0,N,0,10,0,[0],0,0.0,0,0,"(100,)",20,0,10,10,10,10
Flight02,M,0,0,N,0,10,0,[1],6,0.05,0,4,"(100,)",20,0,10,10,16,20
Flight03,M,0,0,N,0,10,0,[1],4,0.05,0,4,"(100,)",20,0,10,10,14,18
Flight04,M,0,0,N,0,10,0,[1],12,0.05,0,4,"(100,)",20,0,10,10,22,26
Flight05,M,0,0,N,0,10,0,[1],16,0.05,0,4,"(100,)",20,0,10,10,26,30
Flight06,M,0,0,W,0,10,0,[1],17,0.05,0,4,"(100,)",20,0,10,10,27,31
Flight07,M,0,0,N,0,10,0,[1],7,0.05,0,4,"(100,)",20,0,10,10,17,21
Flight08,M,0,0,N,0,10,0,[1],4,0.05,0,4,"(100,)",20,0,10,10,14,18
Flight09,M,0,0,N,0,10,0,[1],9,0.05,0,4,"(100,)",20,0,10,10,19,23
Flight10,M,0,0,N,0,10,0,[0],0,0.0,0,0,"(100,)",20,0,10,10,10,10
Flight11,M,0,0,N,0,10,0,[1],9,0.05,0,4,"(100,)",20,0,10,10,19,23
Flight12,M,0,0,N,0,10,0,[1],8,0.05,0,4,"(100,)",20,0,10,10,18,22
Flight13,M,0,0,N,0,10,0,[1],17,0.05,0,4,"(100,)",20,0,10,10,27,31
Flight14,M,0,0,N,0,10,0,[0],0,0.0,0,0,"(100,)",20,0,10,10,10,10
Flight15,M,0,0,N,0,10,0,[1],7,0.05,0,4,"(100,)",20,0,10,10,17,21
Flight16,M,0,0,N,0,10,0,[0],0,0.0,0,0,"(100,)",20,0,10,10,10,10
Flight17,M,0,0,W,0,10,0,[1],20,0.05,0,4,"(100,)",20,0,10,10,30,34
Flight18,M,0,0,N,0,10,0,[0],0,0.0,0,0,"(100,)",20,0,10,10,10,10
Flight19,M,0,0,N,0,10,0,[1],6,0.05,0,4,"(100,)",20,0,10,10,16,20
Flight20,M,0,0,N,0,10,0,[0],0,0.0,0,0,"(100,)",20,0,10,10,10,10
