flight_id,aircraft_cat,SOBT,TOBT,SID,expected_AOBT_noise,expected_EXOT,expected_EXOT_noise,deice_service_need,deice_expected_ADIT,deice_expected_ADIT_sigma,deice_expected_ADIT_mu,deice_expected_wait,buffer_EXOT,buffer_EXOT_prob,exp_taxi_from_deice,wait_cost_per_min,delay_cost_per_min,TSAT,expected_ERZT,expected_ECZT,expected_AEZT,expected_ETOT
Flight01,M,0,0,N,0,10,0,[1],22,0.5,2.966042453358316,0,0,0.85,4,"(100,)",20,0,10,10,32,36
Flight02,M,0,0,W,0,10,0,[1],9,0.5,2.0722245773362196,0,0,0.85,4,"(100,)",20,0,10,10,19,23
Flight03,M,0,0,N,0,10,0,[1],11,0.5,2.2728952727983707,0,0,0.85,4,"(100,)",20,0,10,10,21,25
Flight04,H,0,0,N,0,10,0,[1],13,0.5,2.4399493574615367,0,0,0.85,4,"(200,)",40,0,10,10,23,27
Flight05,M,0,0,N,0,10,0,[1],6,0.5,1.666759469228055,0,0,0.85,4,"(100,)",20,0,10,10,16,20
Flight06,M,0,0,N,0,10,0,[1],15,0.5,2.58305020110221,0,0,0.85,4,"(100,)",20,0,10,10,25,29
Flight07,M,0,0,N,0,10,0,[1],7,0.5,1.8209101490553132,0,0,0.85,4,"(100,)",20,0,10,10,17,21
Flight08,M,0,0,W,0,10,0,[1],10,0.5,2.177585092994046,0,0,0.85,4,"(100,)",20,0,10,10,20,24
Flight09,M,0,0,N,0,10,0,[1],17,0.5,2.708213344056216,0,0,0.85,4,"(100,)",20,0,10,10,27,31
Flight10,M,0,0,N,0,10,0,[1],12,0.5,2.3599066497880004,0,0,0.85,4,"(100,)",20,0,10,10,22,26
