flight_id,aircraft_cat,SOBT,TOBT,SID,expected_AOBT_noise,expected_EXOT,expected_EXOT_noise,deice_service_need,deice_expected_ADIT,deice_expected_ADIT_sigma,deice_expected_ADIT_mu,deice_expected_wait,buffer_EXOT,buffer_EXOT_prob,exp_taxi_from_deice,wait_cost_per_min,delay_cost_per_min,TSAT,expected_ERZT,expected_ECZT,expected_AEZT,expected_ETOT
Flight01,M,0,0,N,0,10,0,[1],17,0.5,2.708213344056216,0,0,0.85,4,"(100,)",20,0,10,10,27,31
Flight02,M,0,0,N,0,10,0,[1],10,0.5,2.177585092994046,0,0,0.85,4,"(100,)",20,0,10,10,20,24
Flight03,H,0,0,E,0,10,0,[1],19,0.5,2.8194389791664403,0,0,0.85,4,"(200,)",40,0,10,10,29,33
Flight04,H,0,0,W,0,10,0,[1],7,0.5,1.8209101490553132,0,0,0.85,4,"(200,)",40,0,10,10,17,21
Flight05,M,0,0,W,0,10,0,[1],18,0.5,2.7653717578961645,0,0,0.85,4,"(100,)",20,0,10,10,28,32
Flight06,H,0,0,W,0,10,0,[1],19,0.5,2.8194389791664403,0,0,0.85,4,"(200,)",40,0,10,10,29,33
Flight07,M,0,0,E,0,10,0,[1],18,0.5,2.7653717578961645,0,0,0.85,4,"(100,)",20,0,10,10,28,32
Flight08,M,0,0,N,0,10,0,[1],5,0.5,1.4844379124341003,0,0,0.85,4,"(100,)",20,0,10,10,15,19
Flight09,M,0,0,W,0,10,0,[1],10,0.5,2.177585092994046,0,0,0.85,4,"(100,)",20,0,10,10,20,24
Flight10,H,0,0,N,0,10,0,[1],4,0.5,1.2612943611198906,0,0,0.85,4,"(200,)",40,0,10,10,14,18
Flight11,M,0,0,N,0,10,0,[1],20,0.5,2.870732273553991,0,0,0.85,4,"(100,)",20,0,10,10,30,34
Flight12,M,0,0,N,0,10,0,[1],20,0.5,2.870732273553991,0,0,0.85,4,"(100,)",20,0,10,10,30,34
Flight13,H,0,0,N,0,10,0,[1],14,0.5,2.5140573296152584,0,0,0.85,4,"(200,)",40,0,10,10,24,28
Flight14,M,0,0,N,0,10,0,[1],10,0.5,2.177585092994046,0,0,0.85,4,"(100,)",20,0,10,10,20,24
Flight15,H,0,0,S,0,10,0,[1],13,0.5,2.4399493574615367,0,0,0.85,4,"(200,)",40,0,10,10,23,27
Flight16,M,0,0,N,0,10,0,[1],16,0.5,2.647588722239781,0,0,0.85,4,"(100,)",20,0,10,10,26,30
Flight17,M,0,0,E,0,10,0,[1],6,0.5,1.666759469228055,0,0,0.85,4,"(100,)",20,0,10,10,16,20
Flight18,M,0,0,N,0,10,0,[1],15,0.5,2.58305020110221,0,0,0.85,4,"(100,)",20,0,10,10,25,29
Flight19,H,0,0,W,0,10,0,[1],15,0.5,2.58305020110221,0,0,0.85,4,"(200,)",40,0,10,10,25,29
Flight20,M,0,0,W,0,10,0,[1],7,0.5,1.8209101490553132,0,0,0.85,4,"(100,)",20,0,10,10,17,21
Flight21,M,0,0,N,0,10,0,[1],16,0.5,2.647588722239781,0,0,0.85,4,"(100,)",20,0,10,10,26,30
Flight22,M,0,0,W,0,10,0,[1],16,0.5,2.647588722239781,0,0,0.85,4,"(100,)",20,0,10,10,26,30
Flight23,M,0,0,N,0,10,0,[1],20,0.5,2.870732273553991,0,0,0.85,4,"(100,)",20,0,10,10,30,34
Flight24,M,0,0,N,0,10,0,[1],22,0.5,2.966042453358316,0,0,0.85,4,"(100,)",20,0,10,10,32,36
Flight25,H,0,0,S,0,10,0,[1],10,0.5,2.177585092994046,0,0,0.85,4,"(200,)",40,0,10,10,20,24
Flight26,M,0,0,N,0,10,0,[1],20,0.5,2.870732273553991,0,0,0.85,4,"(100,)",20,0,10,10,30,34
Flight27,M,0,0,W,0,10,0,[1],6,0.5,1.666759469228055,0,0,0.85,4,"(100,)",20,0,10,10,16,20
Flight28,M,0,0,E,0,10,0,[1],12,0.5,2.3599066497880004,0,0,0.85,4,"(100,)",20,0,10,10,22,26
Flight29,M,0,0,W,0,10,0,[1],12,0.5,2.3599066497880004,0,0,0.85,4,"(100,)",20,0,10,10,22,26
Flight30,M,0,0,N,0,10,0,[1],20,0.5,2.870732273553991,0,0,0.85,4,"(100,)",20,0,10,10,30,34
