flight_id,aircraft_cat,SOBT,TOBT,SID,expected_AOBT_noise,expected_EXOT,expected_EXOT_noise,deice_service_need,deice_expected_ADIT,deice_expected_ADIT_sigma,deice_expected_ADIT_mu,deice_expected_wait,buffer_EXOT,buffer_EXOT_prob,exp_taxi_from_deice,wait_cost_per_min,delay_cost_per_min,TSAT,earliest_ERZT,expected_ERZT,expected_ECZT,expected_AEZT,expected_ETOT,original_index,ECZT
Flight01,H,0,0,N,5,10,0,1,17,0.25,2.801963344056216,0,0,0.85,4,"(4.0699, 54.7981)","(4.0884, 17.8682)",0,10,10,10,27,31,0,10
Flight02,M,0,0,S,5,10,0,1,7,0.25,1.9146601490553132,0,0,0.85,4,"(2.2802, 23.0717)","(2.2589, 9.0455)",0,10,10,10,17,21,1,10
Flight03,M,0,0,E,5,10,0,1,4,0.25,1.3550443611198906,0,0,0.85,4,"(2.2802, 23.0717)","(2.2589, 9.0455)",0,10,10,10,14,18,2,10
Flight04,M,0,0,S,5,10,0,1,9,0.25,2.1659745773362196,0,0,0.85,4,"(2.2802, 23.0717)","(2.2589, 9.0455)",0,10,10,10,19,23,3,10
Flight05,M,0,0,W,5,10,0,1,16,0.25,2.741338722239781,0,0,0.85,4,"(2.2802, 23.0717)","(2.2589, 9.0455)",0,10,10,10,26,30,4,10
Flight06,M,0,0,E,5,10,0,1,22,0.25,3.059792453358316,0,0,0.85,4,"(2.2802, 23.0717)","(2.2589, 9.0455)",4,10,14,10,36,36,5,14
Flight07,H,0,0,N,5,10,0,1,8,0.25,2.0481915416798357,0,0,0.85,4,"(4.0699, 54.7981)","(4.0884, 17.8682)",7,10,17,10,25,22,6,17
Flight08,H,5,5,N,5,10,0,1,17,0.25,2.801963344056216,0,0,0.85,4,"(4.0699, 54.7981)","(4.0884, 17.8682)",9,15,19,15,36,36,7,19
Flight09,M,5,5,W,5,10,0,1,6,0.25,1.760509469228055,0,0,0.85,4,"(2.2802, 23.0717)","(2.2589, 9.0455)",15,15,25,15,31,25,8,25
Flight10,M,10,10,E,5,10,0,1,5,0.25,1.5781879124341003,0,0,0.85,4,"(2.2802, 23.0717)","(2.2589, 9.0455)",16,20,26,20,31,29,9,26
Flight11,H,10,10,N,5,10,0,1,20,0.25,2.964482273553991,0,0,0.85,4,"(4.0699, 54.7981)","(4.0884, 17.8682)",17,20,27,20,47,44,10,27
Flight12,M,15,15,W,5,10,0,1,20,0.25,2.964482273553991,0,0,0.85,4,"(2.2802, 23.0717)","(2.2589, 9.0455)",21,25,31,25,51,49,11,31
Flight13,M,15,15,E,5,10,0,1,6,0.25,1.760509469228055,0,0,0.85,4,"(2.2802, 23.0717)","(2.2589, 9.0455)",21,25,31,25,37,35,12,31
Flight14,M,15,15,S,5,10,0,1,8,0.25,2.0481915416798357,0,0,0.85,4,"(2.2802, 23.0717)","(2.2589, 9.0455)",26,25,36,25,44,37,13,36
Flight15,M,15,15,W,5,10,0,1,22,0.25,3.059792453358316,0,0,0.85,4,"(2.2802, 23.0717)","(2.2589, 9.0455)",26,25,36,25,58,51,14,36
Flight16,M,15,15,N,5,10,0,1,15,0.25,2.67680020110221,0,0,0.85,4,"(2.2802, 23.0717)","(2.2589, 9.0455)",27,25,37,25,52,44,15,37
Flight17,H,15,15,N,5,10,0,1,4,0.25,1.3550443611198906,0,0,0.85,4,"(4.0699, 54.7981)","(4.0884, 17.8682)",34,25,44,25,48,33,16,44
Flight18,M,15,15,W,5,10,0,1,5,0.25,1.5781879124341003,0,0,0.85,4,"(2.2802, 23.0717)","(2.2589, 9.0455)",37,25,47,25,52,34,17,47
Flight19,M,20,20,N,5,10,0,1,17,0.25,2.801963344056216,0,0,0.85,4,"(2.2802, 23.0717)","(2.2589, 9.0455)",38,30,48,30,65,51,18,48
Flight20,M,20,20,S,5,10,0,1,10,0.25,2.271335092994046,0,0,0.85,4,"(2.2802, 23.0717)","(2.2589, 9.0455)",41,30,51,30,61,44,19,51
