flight_id,aircraft_cat,SOBT,TOBT,SID,expected_AOBT_noise,expected_EXOT,expected_EXOT_noise,deice_service_need,deice_expected_ADIT,deice_expected_ADIT_sigma,deice_expected_ADIT_mu,deice_expected_wait,buffer_EXOT,buffer_EXOT_prob,exp_taxi_from_deice,wait_cost_per_min,delay_cost_per_min,TSAT,expected_ERZT,expected_ECZT,expected_AEZT,expected_ETOT
Flight01,M,0,0,N,0,10,0,[1],6,0.5,1.666759469228055,0,0,0.85,4,"(100,)",20,0,10,10,16,20
Flight02,M,0,0,N,0,10,0,[1],20,0.5,2.870732273553991,0,0,0.85,4,"(100,)",20,0,10,10,30,34
Flight03,M,0,0,N,0,10,0,[1],8,0.5,1.9544415416798357,0,0,0.85,4,"(100,)",20,0,10,10,18,22
Flight04,M,0,0,N,0,10,0,[1],5,0.5,1.4844379124341003,0,0,0.85,4,"(100,)",20,0,10,10,15,19
Flight05,M,0,0,N,0,10,0,[1],8,0.5,1.9544415416798357,0,0,0.85,4,"(100,)",20,0,10,10,18,22
Flight06,M,0,0,W,0,10,0,[1],18,0.5,2.7653717578961645,0,0,0.85,4,"(100,)",20,0,10,10,28,32
Flight07,M,0,0,N,0,10,0,[1],17,0.5,2.708213344056216,0,0,0.85,4,"(100,)",20,0,10,10,27,31
Flight08,M,0,0,N,0,10,0,[1],7,0.5,1.8209101490553132,0,0,0.85,4,"(100,)",20,0,10,10,17,21
Flight09,M,0,0,N,0,10,0,[1],19,0.5,2.8194389791664403,0,0,0.85,4,"(100,)",20,0,10,10,29,33
Flight10,M,0,0,N,0,10,0,[1],15,0.5,2.58305020110221,0,0,0.85,4,"(100,)",20,0,10,10,25,29
